hhid,sectiona1,sectiona2,sectiona3,sectiona4,sectiona5,sectiona6,sectiona7,sectiona8,sectiona9,sectiona10
724,1,male,58,household head,married,yes,did not complete any schooling,yes,,agriculture
724,2,female,52,spouse,married,yes,did not complete any schooling,yes,,household work
724,3,male,26,child,single,yes,did not complete any schooling,yes,,agriculture
724,4,male,23,child,single,yes,6th grade,no,student,
724,5,male,18,child,single,yes,7th grade,no,student,
724,6,female,15,child,single,yes,3rd grade,no,student,
724,7,male,10,child,,yes,4th grade,no,student,
724,8,female,8,child,,yes,1st grade,no,student,
725,1,male,35,household head,married,yes,did not complete any schooling,yes,,agriculture
725,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
725,3,male,16,child,single,yes,8th grade,yes,,student
725,4,male,11,child,,yes,3rd grade,yes,,student
725,5,male,4,child,,no,,,,
726,1,male,40,household head,married,yes,did not complete any schooling,yes,,agriculture
726,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
726,3,female,15,child,single,yes,8th grade,no,student,
726,4,female,12,child,single,yes,7th grade,no,student,
726,5,male,9,child,,yes,3rd grade,no,student,
726,6,male,5,child,,yes,did not complete any schooling,no,too young,
726,7,male,3,child,,no,,,,
727,1,male,45,household head,married,yes,did not complete any schooling,yes,,household work
727,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
727,3,male,17,child,single,yes,4th grade,no,student,
727,4,female,6,child,,yes,1st grade,no,student,
727,5,female,4,child,,no,,,,
728,1,male,45,household head,married,yes,6th grade,yes,,agriculture
728,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
728,3,female,17,child,single,yes,5th grade,yes,,student
728,4,male,15,child,single,yes,6th grade,yes,,student
728,5,male,12,child,single,yes,did not complete any schooling,yes,,livestock
728,6,male,10,child,,yes,did not complete any schooling,yes,,livestock
729,1,male,35,household head,married,yes,3rd grade,yes,,agriculture
729,2,female,25,spouse,married,yes,3rd grade,yes,,household work
729,3,male,25,not related,single,yes,did not complete any schooling,yes,,agriculture
730,1,male,65,household head,married,yes,adult literacy program,yes,,agriculture
730,2,female,55,spouse,married,yes,did not complete any schooling,yes,,household work
730,3,male,25,child,single,yes,8th grade,no,student,
730,4,male,18,child,single,yes,6th grade,no,student,
730,5,female,13,child,single,yes,2nd grade,no,student,
731,1,male,71,household head,married,yes,did not complete any schooling,yes,,agriculture
731,2,female,65,spouse,married,yes,did not complete any schooling,yes,,household work
731,3,female,28,child,divorced,yes,did not complete any schooling,yes,,agriculture
731,4,male,25,child,divorced,yes,3rd grade,yes,,household work
731,5,female,22,child,single,yes,10nth grade,no,student,
731,6,male,20,child,single,yes,incomplete higher education (not university),no,student,
731,7,female,13,grandchild,single,yes,3rd grade,yes,,student
732,1,male,31,household head,married,yes,adult literacy program,yes,,agriculture
732,2,female,26,spouse,married,yes,did not complete any schooling,yes,,household work
732,3,male,5,child,,yes,did not complete any schooling,yes,,household work
733,1,male,38,household head,married,yes,2nd grade,yes,,agriculture
733,2,female,26,spouse,married,yes,did not complete any schooling,yes,,household work
733,3,male,10,child,,yes,2nd grade,yes,,student
733,4,male,10,child,,yes,1st grade,yes,,student
733,5,male,6,child,,yes,did not complete any schooling,yes,,household work
734,1,male,42,household head,married,yes,2nd grade,yes,,agriculture
734,2,female,38,spouse,married,yes,2nd grade,yes,,household work
734,3,male,22,child,single,yes,10nth grade,yes,,agriculture
734,4,female,15,child,single,yes,7th grade,yes,,student
734,5,male,12,child,single,yes,1st grade,yes,,student
734,6,male,9,child,,yes,did not complete any schooling,yes,,livestock
734,7,female,6,child,,yes,did not complete any schooling,yes,,household work
734,101,male,18,child,single,yes,11th grade,no,student,
735,1,male,45,household head,married,yes,8th grade,yes,,agriculture
735,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
735,3,male,12,child,single,yes,5th grade,yes,,student
735,4,male,3,child,,no,,,,
735,101,female,16,child,single,yes,9th grade,no,student,
736,1,male,32,household head,married,yes,11th grade,yes,,agriculture
736,2,female,28,spouse,married,yes,6th grade,yes,,household work
736,3,male,8,child,,yes,some church/mosque school,yes,,livestock
736,4,male,6,child,,yes,some church/mosque school,yes,,livestock
736,5,female,4,child,,no,,,,
737,1,male,30,household head,married,yes,adult literacy program,yes,,agriculture
737,2,female,27,spouse,married,yes,5th grade,yes,,household work
737,3,male,10,child,,yes,1st grade,no,student,
738,1,male,53,household head,married,yes,adult literacy program,yes,,agriculture
738,2,female,45,spouse,married,yes,did not complete any schooling,yes,,household work
738,3,female,15,child,single,yes,7th grade,yes,,student
738,4,female,13,child,single,yes,2nd grade,yes,,student
738,5,female,11,child,,yes,1st grade,yes,,student
738,6,male,45,not related,single,yes,did not complete any schooling,no,sick,
739,1,male,55,household head,married,yes,adult literacy program,yes,,agriculture
739,2,female,47,spouse,married,yes,did not complete any schooling,yes,,household work
739,3,male,18,child,single,yes,3rd grade,yes,,student
739,4,female,15,child,single,yes,3rd grade,yes,,student
739,5,female,12,child,single,yes,2nd grade,yes,,student
739,6,female,6,child,,yes,did not complete any schooling,no,too young,
739,7,female,1,child,,no,,,,
740,1,male,51,household head,married,yes,adult literacy program,yes,,agriculture
740,2,female,45,spouse,married,yes,did not complete any schooling,yes,,household work
740,3,male,18,child,single,yes,8th grade,yes,,student
740,4,female,13,child,single,yes,7th grade,yes,,student
740,5,male,9,child,,yes,1st grade,yes,,student
740,6,male,7,child,,yes,did not complete any schooling,yes,,livestock
741,1,male,30,household head,married,yes,3rd grade,yes,,agriculture
741,2,female,26,spouse,married,yes,did not complete any schooling,yes,,household work
741,3,female,9,child,,yes,2nd grade,yes,,student
741,4,female,5,child,,yes,did not complete any schooling,no,too young,
742,1,male,40,household head,married,yes,adult literacy program,yes,,agriculture
742,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
742,3,male,16,child,single,yes,some church/mosque school,yes,,agriculture
742,4,male,14,child,single,yes,3rd grade,yes,,student
742,5,male,1,child,,no,,,,
743,1,male,30,household head,married,yes,did not complete any schooling,yes,,agriculture
743,2,female,25,spouse,married,yes,8th grade,yes,,household work
743,3,female,6,child,,yes,did not complete any schooling,no,too young,
743,4,female,0,child,,no,,,,
744,1,male,41,household head,married,yes,adult literacy program,yes,,agriculture
744,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
744,3,male,18,child,single,yes,5th grade,yes,,student
744,4,male,13,child,single,yes,4th grade,yes,,student
744,5,male,10,child,,yes,3rd grade,yes,,student
744,6,male,7,child,,yes,did not complete any schooling,yes,,livestock
744,7,male,1,child,,no,,,,
745,1,male,76,household head,married,yes,adult literacy program,yes,,agriculture
745,2,female,67,spouse,married,yes,did not complete any schooling,yes,,household work
745,3,male,26,child,married,yes,4th grade,yes,,agriculture
745,4,male,10,grandchild,,yes,did not complete any schooling,yes,,livestock
745,5,female,2,grandchild,,no,,,,
745,6,female,17,not related,married,yes,did not complete any schooling,yes,,household work
746,1,male,53,household head,married,yes,adult literacy program,yes,,agriculture
746,2,female,45,spouse,married,yes,did not complete any schooling,yes,,household work
746,3,male,21,child,single,yes,6th grade,yes,,student
746,4,male,18,child,single,yes,did not complete any schooling,yes,,student
746,5,male,15,child,single,yes,4th grade,yes,,student
746,6,male,11,child,,yes,1st grade,yes,,student
746,7,male,8,child,,yes,did not complete any schooling,yes,,livestock
746,8,female,6,child,,yes,did not complete any schooling,no,too young,
746,9,female,1,child,,no,,,,
747,1,male,45,household head,married,yes,adult literacy program,yes,,agriculture
747,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
747,3,female,18,child,single,yes,8th grade,yes,,household work
747,4,male,15,child,single,yes,3rd grade,yes,,student
747,5,female,10,child,,yes,1st grade,yes,,student
747,6,male,8,child,,yes,did not complete any schooling,yes,,livestock
747,7,female,3,child,,no,,,,
748,1,male,61,household head,married,yes,adult literacy program,yes,,agriculture
748,2,female,56,spouse,married,yes,did not complete any schooling,yes,,household work
748,3,male,20,child,single,yes,10nth grade,yes,,commerce
748,4,female,17,child,divorced,yes,9th grade,yes,,student
748,5,male,12,child,single,yes,3rd grade,yes,,student
748,6,male,1,grandchild,,no,,,,
748,7,male,17,not related,single,yes,did not complete any schooling,yes,,agriculture
749,1,female,65,household head,widowed,yes,did not complete any schooling,yes,,household work
749,2,male,35,child,divorced,yes,did not complete any schooling,yes,,agriculture
749,3,female,30,child,divorced,yes,did not complete any schooling,yes,,household work
749,4,female,10,grandchild,,yes,2nd grade,yes,,student
749,5,female,7,grandchild,,yes,did not complete any schooling,yes,,student
750,1,male,44,household head,married,yes,adult literacy program,yes,,agriculture
750,2,female,40,spouse,married,yes,did not complete any schooling,yes,,household work
750,3,female,14,child,single,yes,5th grade,yes,,household work
750,4,female,10,child,,yes,did not complete any schooling,yes,,livestock
750,5,male,7,child,,yes,did not complete any schooling,no,too young,
750,6,male,25,not related,single,yes,did not complete any schooling,yes,,agriculture
751,1,male,53,household head,married,yes,did not complete any schooling,yes,,agriculture
751,2,female,40,spouse,married,yes,did not complete any schooling,yes,,household work
751,3,female,18,child,divorced,yes,1st grade,yes,,household work
751,4,male,15,child,single,yes,some church/mosque school,yes,,livestock
751,5,female,10,child,,yes,did not complete any schooling,yes,,livestock
751,6,female,3,child,,no,,,,
752,1,male,30,household head,married,yes,adult literacy program,yes,,agriculture
752,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
752,3,female,11,child,,yes,1st grade,yes,,student
752,4,female,7,child,,yes,did not complete any schooling,no,too young,
752,5,female,2,child,,no,,,,
753,1,male,30,household head,married,yes,adult literacy program,yes,,agriculture
753,2,female,28,spouse,married,yes,adult literacy program,yes,,household work
753,3,male,4,child,,no,,,,
753,4,male,14,other relation,single,yes,did not complete any schooling,yes,,livestock
754,1,male,40,household head,married,yes,adult literacy program,yes,,agriculture
754,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
754,3,male,15,child,single,yes,6th grade,yes,,student
754,4,female,10,child,,yes,1st grade,yes,,student
754,5,male,7,child,,yes,did not complete any schooling,no,too young,
754,6,female,3,child,,no,,,,
755,1,male,67,household head,married,yes,did not complete any schooling,yes,,agriculture
755,2,female,55,spouse,married,yes,did not complete any schooling,yes,,household work
755,3,male,24,child,single,yes,did not complete any schooling,yes,,agriculture
755,4,male,20,child,single,yes,did not complete any schooling,yes,,agriculture
756,1,male,50,household head,married,yes,adult literacy program,yes,,agriculture
756,2,female,40,spouse,married,yes,did not complete any schooling,yes,,household work
756,3,male,22,child,single,yes,did not complete any schooling,yes,,agriculture
757,1,male,28,household head,married,yes,adult literacy program,yes,,agriculture
757,2,female,25,spouse,married,yes,did not complete any schooling,yes,,household work
757,3,male,10,child,,yes,1st grade,yes,,livestock
757,4,male,4,child,,no,,,,
758,1,male,26,household head,married,yes,6th grade,yes,,agriculture
758,2,female,22,spouse,married,yes,10nth grade,yes,,household work
759,1,male,32,household head,married,yes,adult literacy program,yes,,agriculture
759,2,female,30,spouse,married,yes,adult literacy program,yes,,household work
759,3,female,12,child,single,yes,2nd grade,yes,,student
759,4,female,5,child,,yes,did not complete any schooling,no,too young,
759,5,male,3,child,,no,,,,
760,1,male,65,household head,married,yes,adult literacy program,yes,,agriculture
760,2,female,50,spouse,married,yes,did not complete any schooling,yes,,household work
760,3,male,18,child,single,yes,8th grade,yes,,not available
581,1,male,33,household head,married,yes,did not complete any schooling,yes,,agriculture
581,2,female,28,spouse,married,yes,did not complete any schooling,yes,,agriculture
581,3,female,12,child,single,yes,1st grade,yes,,student
581,4,female,8,child,,yes,1st grade,yes,,student
581,5,female,6,child,,yes,did not complete any schooling,no,too young,
581,6,male,4,child,,no,,,,
581,7,female,0,child,,no,,,,
582,1,male,32,household head,married,yes,3rd grade,yes,,agriculture
582,2,female,28,spouse,married,yes,did not complete any schooling,yes,,household work
582,3,female,14,child,single,yes,9th grade,yes,,student
582,4,female,11,child,,yes,3rd grade,yes,,student
582,5,male,10,child,,yes,1st grade,yes,,student
582,6,male,8,child,,yes,did not complete any schooling,yes,,student
582,7,male,6,child,,yes,did not complete any schooling,yes,,student
582,8,female,3,child,,no,,,,
583,1,female,35,household head,widowed,yes,4th grade,yes,,agriculture
583,2,female,18,child,single,yes,4th grade,yes,,household work
583,3,male,15,child,single,yes,2nd grade,yes,,student
583,4,male,13,child,single,yes,2nd grade,yes,,student
583,5,female,11,child,,yes,3rd grade,yes,,student
583,6,male,5,child,,yes,did not complete any schooling,yes,,livestock
583,7,male,20,not related,single,yes,did not complete any schooling,yes,,agriculture
584,1,male,40,household head,married,yes,10nth grade,yes,,agriculture
584,2,female,36,spouse,married,yes,did not complete any schooling,yes,,household work
584,3,male,24,child,single,yes,10nth grade,yes,,agriculture
584,4,male,17,child,single,yes,8th grade,yes,,student
584,5,male,14,child,single,yes,4th grade,yes,,student
584,6,male,12,child,single,yes,did not complete any schooling,yes,,agriculture
584,7,female,9,child,,yes,did not complete any schooling,yes,,livestock
585,1,female,69,household head,widowed,yes,did not complete any schooling,no,too old,
585,2,male,28,child,single,yes,1st grade,yes,not available,
585,3,female,4,parent,,no,,,,
586,1,male,80,household head,separated,yes,did not complete any schooling,yes,,agriculture
586,2,female,4,child,,no,,,,
586,3,female,6,child,,yes,1st grade,yes,,household work
587,1,male,28,household head,married,yes,9th grade,yes,,agriculture
587,2,female,24,spouse,married,yes,7th grade,yes,,agriculture
587,3,male,5,child,,yes,did not complete any schooling,no,student,
587,4,male,0,child,,no,,,,
588,1,male,78,household head,married,yes,did not complete any schooling,yes,,agriculture
588,2,female,65,spouse,married,yes,did not complete any schooling,yes,,agriculture
588,3,male,18,parent,widowed,yes,4th grade,yes,,student
589,1,male,32,household head,married,yes,7th grade,yes,,agriculture
589,2,female,28,spouse,married,yes,did not complete any schooling,yes,,agriculture
589,3,male,15,child,single,yes,7th grade,yes,,agricultural wage labor
589,4,male,7,child,,yes,did not complete any schooling,no,too young,
589,5,male,3,child,,no,,,,
589,6,male,1,child,,no,,,,
590,1,male,38,household head,married,yes,8th grade,yes,,agriculture
590,2,female,30,spouse,married,yes,3rd grade,yes,,agriculture
590,3,female,14,child,single,yes,7th grade,yes,,student
590,4,female,12,child,single,yes,4th grade,yes,,student
590,5,female,9,child,,yes,3rd grade,yes,,student
590,6,female,4,child,,no,,,,
590,7,female,4,child,,no,,,,
591,1,male,38,household head,married,yes,did not complete any schooling,yes,,agriculture
591,2,female,37,spouse,married,yes,did not complete any schooling,yes,,agriculture
591,3,female,22,child,single,yes,5th grade,no,student,
591,4,male,16,child,single,yes,3rd grade,no,student,
591,5,female,13,child,single,yes,1st grade,no,student,
591,6,female,12,child,single,yes,did not complete any schooling,no,student,
591,7,male,10,child,,yes,did not complete any schooling,no,student,
591,8,female,9,child,,yes,did not complete any schooling,no,student,
591,9,female,8,child,,yes,did not complete any schooling,no,student,
591,10,female,3,child,,no,,,,
592,1,male,45,household head,married,yes,2nd grade,yes,,agriculture
592,2,female,37,spouse,married,yes,did not complete any schooling,yes,,agriculture
592,3,male,16,child,single,yes,3rd grade,yes,,agriculture
592,4,female,13,child,single,yes,2nd grade,yes,,agriculture
592,5,male,10,child,,yes,did not complete any schooling,yes,,agriculture
592,6,female,7,child,,yes,did not complete any schooling,no,too young,
593,1,male,48,household head,married,yes,6th grade,yes,,agriculture
593,2,female,35,spouse,married,yes,3rd grade,yes,,agriculture
593,3,male,18,child,single,yes,6th grade,yes,,student
593,4,female,14,child,single,yes,7th grade,yes,,student
593,5,female,10,child,,yes,4th grade,yes,,student
593,6,male,8,child,,yes,1st grade,yes,,student
593,7,male,16,not related,single,yes,1st grade,yes,,agriculture
594,1,male,42,household head,married,yes,2nd grade,yes,,agriculture
594,2,female,35,spouse,married,yes,did not complete any schooling,yes,,agriculture
594,3,male,16,child,single,yes,2nd grade,no,student,
594,4,female,14,child,single,yes,did not complete any schooling,no,student,
594,5,female,10,child,,yes,1st grade,no,student,
594,7,female,4,child,,no,,,,
594,8,female,17,parent,single,yes,did not complete any schooling,yes,,agriculture
595,1,male,60,household head,married,yes,did not complete any schooling,yes,,agriculture
595,2,female,50,spouse,married,yes,did not complete any schooling,yes,,agriculture
595,3,male,26,child,single,yes,1st grade,no,student,
595,4,male,21,child,single,yes,7th grade,yes,,agriculture
595,5,female,13,child,single,yes,8th grade,no,student,
595,6,male,11,parent,,yes,did not complete any schooling,yes,,student
595,7,female,9,parent,,yes,did not complete any schooling,yes,,student
596,1,male,34,household head,married,yes,did not complete any schooling,yes,,agriculture
596,2,female,27,spouse,married,yes,did not complete any schooling,yes,,agriculture
596,3,female,8,child,,yes,1st grade,yes,,student
596,4,female,6,child,,yes,1st grade,yes,,student
596,5,female,4,child,,no,,,,
596,6,male,0,child,,no,,,,
597,1,male,38,household head,married,yes,5th grade,yes,,agriculture
597,2,female,30,spouse,married,yes,4th grade,yes,,agriculture
597,3,female,12,child,single,yes,6th grade,yes,,student
597,4,male,9,child,,yes,4th grade,yes,,student
597,5,male,7,child,,yes,did not complete any schooling,yes,,student
597,6,male,5,child,,yes,did not complete any schooling,yes,,student
598,1,male,22,household head,married,yes,5th grade,yes,,agriculture
598,2,female,19,spouse,married,yes,1st grade,yes,,student
598,3,female,0,child,,no,,,,
599,1,male,25,household head,married,yes,5th grade,yes,,agriculture
599,2,female,23,spouse,married,yes,did not complete any schooling,yes,,agriculture
599,3,female,4,child,,no,,,,
599,4,male,0,child,,no,,,,
599,5,male,12,parent,single,yes,5th grade,yes,,student
600,1,male,55,household head,married,yes,4th grade,yes,,agriculture
600,2,female,40,spouse,married,yes,did not complete any schooling,yes,,agriculture
600,3,female,19,child,single,yes,7th grade,yes,,agriculture
600,4,female,17,child,single,yes,8th grade,yes,,student
600,5,male,15,child,single,yes,5th grade,yes,,student
600,6,male,13,child,single,yes,1st grade,yes,,student
600,7,male,11,child,,yes,2nd grade,yes,,student
600,8,female,9,child,,yes,1st grade,yes,,student
600,9,male,7,child,,yes,did not complete any schooling,yes,,agriculture
601,1,male,55,household head,married,yes,did not complete any schooling,yes,,agriculture
601,2,female,45,spouse,married,yes,did not complete any schooling,yes,,agriculture
601,3,female,25,child,separated,yes,did not complete any schooling,yes,,agriculture
601,4,male,5,grandchild,,yes,did not complete any schooling,no,too young,
601,5,female,1,grandchild,,no,,,,
601,6,male,7,parent,,yes,did not complete any schooling,yes,,livestock
601,101,male,18,child,single,yes,8th grade,yes,,student
602,1,female,95,household head,widowed,yes,did not complete any schooling,no,too old,
602,2,female,19,grandchild,single,yes,5th grade,yes,,student
602,3,male,12,grandchild,single,yes,6th grade,yes,,student
603,1,male,40,household head,married,yes,8th grade,yes,,agriculture
603,2,female,32,spouse,married,yes,did not complete any schooling,yes,,agriculture
603,3,male,15,child,single,yes,5th grade,yes,,student
603,4,male,13,child,single,yes,1st grade,yes,,agriculture
603,5,male,7,child,,yes,did not complete any schooling,yes,,agriculture
603,6,female,9,child,,yes,did not complete any schooling,yes,,agriculture
604,1,male,46,household head,married,yes,did not complete any schooling,yes,,agriculture
604,2,female,38,spouse,married,yes,did not complete any schooling,yes,,agriculture
604,3,male,22,child,single,yes,5th grade,yes,,agriculture
604,4,female,20,child,single,yes,did not complete any schooling,yes,,agriculture
604,5,female,18,child,single,yes,5th grade,yes,,agriculture
604,6,female,16,child,single,yes,2nd grade,yes,,agriculture
604,7,male,14,child,single,yes,2nd grade,yes,,agriculture
604,8,male,12,child,single,yes,did not complete any schooling,yes,,agriculture
604,9,female,10,child,,yes,did not complete any schooling,yes,,agriculture
604,10,female,8,child,,yes,did not complete any schooling,yes,,agriculture
604,11,male,3,child,,no,,,,
606,1,male,61,household head,married,yes,did not complete any schooling,yes,,agriculture
606,2,female,52,spouse,married,yes,did not complete any schooling,yes,,agriculture
606,3,female,23,child,single,yes,2nd grade,yes,,agriculture
606,4,male,21,child,single,yes,did not complete any schooling,yes,,agriculture
606,5,male,19,child,single,yes,10nth grade,yes,,student
606,6,male,17,child,single,yes,4th grade,yes,,student
606,7,male,15,child,single,yes,did not complete any schooling,yes,,agriculture
606,8,female,12,child,single,yes,5th grade,yes,,student
606,9,female,10,child,,yes,6th grade,yes,,student
606,10,male,9,child,,yes,did not complete any schooling,yes,,student
607,1,male,70,household head,widowed,yes,did not complete any schooling,yes,,agriculture
607,2,female,40,child,separated,yes,did not complete any schooling,yes,,household work
607,3,male,14,grandchild,single,yes,3rd grade,yes,,student
607,4,male,12,grandchild,single,yes,did not complete any schooling,yes,,agriculture
608,1,male,65,household head,married,yes,5th grade,yes,,agriculture
608,2,female,55,spouse,married,yes,did not complete any schooling,yes,,agriculture
608,3,female,10,other relation,,yes,did not complete any schooling,yes,,agriculture
608,4,female,16,child,single,yes,9th grade,yes,,student
608,5,female,4,grandchild,,no,,,,
608,101,male,18,child,single,yes,10nth grade,no,student,
609,1,male,44,household head,married,yes,5th grade,yes,,agriculture
609,2,female,33,spouse,married,yes,did not complete any schooling,yes,,agriculture
609,3,male,19,child,single,yes,10nth grade,yes,,agriculture
609,4,female,17,child,single,yes,7th grade,yes,,student
609,5,female,14,child,single,yes,3rd grade,yes,,student
609,6,male,11,child,,yes,3rd grade,yes,,student
609,7,female,9,child,,yes,did not complete any schooling,no,too young,
609,8,female,6,child,,yes,did not complete any schooling,no,too young,
609,9,female,2,child,,no,,,,
610,1,male,37,household head,married,yes,12th grade,yes,,agriculture
610,2,female,27,spouse,married,yes,3rd grade,yes,,agriculture
610,3,male,8,child,,yes,did not complete any schooling,yes,,student
610,4,male,5,child,,yes,did not complete any schooling,yes,,student
610,5,male,1,child,,no,,,,
622,1,male,50,household head,married,yes,adult literacy program,yes,,agriculture
622,2,female,45,spouse,married,yes,did not complete any schooling,yes,,household work
622,3,male,20,child,single,yes,4th grade,yes,,student
622,4,female,16,child,single,yes,6th grade,yes,,student
622,5,male,19,child,single,yes,6th grade,yes,,student
622,6,female,8,child,,yes,did not complete any schooling,yes,,household work
622,7,male,7,child,,yes,did not complete any schooling,yes,,livestock
622,8,male,6,child,,yes,did not complete any schooling,no,too young,
623,1,male,55,household head,married,yes,adult literacy program,yes,,agriculture
623,2,female,40,spouse,married,yes,2nd grade,yes,,household work
623,3,male,19,child,single,yes,6th grade,yes,,agriculture
623,4,female,13,child,single,yes,1st grade,yes,,student
623,5,male,11,child,,yes,3rd grade,yes,,student
623,6,male,9,child,,yes,did not complete any schooling,yes,,student
623,7,male,5,child,,yes,did not complete any schooling,no,too young,
623,8,female,5,grandchild,,yes,did not complete any schooling,no,too young,
623,9,female,2,child,,no,,,,
624,1,male,38,household head,married,yes,10nth grade,yes,,agriculture
624,2,female,32,spouse,married,yes,8th grade,yes,,household work
624,3,female,14,child,single,yes,5th grade,yes,,student
624,4,female,13,child,single,yes,5th grade,yes,,student
624,5,female,9,child,,yes,4th grade,yes,,student
624,6,female,6,child,,yes,did not complete any schooling,yes,,household work
624,7,female,0,child,,no,,,,
624,8,male,16,not related,single,yes,4th grade,yes,,student
624,9,male,23,not related,single,yes,did not complete any schooling,yes,,agriculture
625,1,male,40,household head,married,yes,8th grade,yes,,agriculture
625,2,female,35,spouse,married,yes,6th grade,yes,,household work
625,3,female,12,child,single,yes,4th grade,yes,,student
625,4,male,10,child,,yes,3rd grade,no,student,
625,5,female,0,child,,no,,,,
625,6,female,24,not related,single,yes,4th grade,yes,,non-agricultural wage labor
625,7,male,45,not related,married,yes,did not complete any schooling,yes,,agricultural wage labor
625,8,male,28,not related,married,yes,adult literacy program,yes,,agricultural wage labor
625,9,male,30,not related,single,yes,3rd grade,yes,,agricultural wage labor
625,101,male,14,child,single,yes,7th grade,no,student,
626,1,male,63,household head,married,yes,did not complete any schooling,yes,,agriculture
626,2,female,50,spouse,married,yes,did not complete any schooling,yes,,household work
626,3,female,20,child,single,yes,8th grade,yes,,student
626,3,female,20,child,single,yes,10nth grade,yes,,student
626,5,female,13,child,single,yes,6th grade,yes,,agriculture
626,6,male,26,child,single,yes,9th grade,yes,,agriculture
626,8,male,12,other relation,single,yes,2nd grade,yes,,livestock
627,1,male,37,household head,married,yes,5th grade,yes,,agriculture
627,2,female,25,spouse,married,yes,9th grade,yes,,household work
627,3,male,12,child,single,yes,4th grade,yes,,student
627,4,male,6,child,,yes,did not complete any schooling,no,too young,
627,5,male,2,child,,no,,,,
627,6,female,17,other relation,single,yes,6th grade,yes,,student
628,1,female,57,household head,widowed,yes,did not complete any schooling,yes,,household work
628,2,male,18,child,single,yes,10nth grade,yes,,agriculture
628,3,male,17,child,single,yes,8th grade,yes,,agriculture
628,4,female,15,child,single,yes,8th grade,yes,,student
628,5,female,6,grandchild,,yes,did not complete any schooling,no,too young,
628,6,male,10,grandchild,,yes,4th grade,yes,,student
629,1,male,42,household head,married,yes,incomplete higher education (not university),yes,,agriculture
629,2,female,25,spouse,married,yes,2nd grade,yes,,household work
629,3,male,15,other relation,single,yes,3rd grade,yes,,student
629,4,female,10,other relation,,yes,2nd grade,yes,,student
629,5,male,6,child,,yes,did not complete any schooling,no,too young,
629,6,female,3,child,,no,,,,
629,7,male,29,sibling,single,yes,12th grade,yes,,agriculture
629,8,male,21,sibling,single,yes,6th grade,yes,,agriculture
629,9,male,13,not related,single,yes,did not complete any schooling,yes,,livestock
630,1,male,35,household head,married,yes,did not complete any schooling,yes,,agriculture
630,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
630,3,female,10,child,,yes,did not complete any schooling,yes,,household work
631,1,male,67,household head,married,yes,did not complete any schooling,yes,,agriculture
631,2,female,50,spouse,married,yes,did not complete any schooling,yes,,household work
631,3,female,36,child,separated,yes,did not complete any schooling,yes,,household work
631,4,male,30,child,single,yes,6th grade,yes,,agriculture
631,5,male,28,child,single,yes,did not complete any schooling,yes,,agriculture
631,6,male,26,child,single,yes,8th grade,yes,,agriculture
631,7,male,14,child,single,yes,2nd grade,yes,,student
631,8,female,16,child,single,yes,6th grade,yes,,student
631,9,female,20,child,single,yes,3rd grade,yes,,household work
631,10,female,10,child,,yes,did not complete any schooling,yes,,household work
631,11,female,7,grandchild,,yes,did not complete any schooling,no,too young,
631,12,female,2,grandchild,,no,,,,
633,1,male,63,household head,married,yes,did not complete any schooling,yes,,agriculture
633,2,female,56,spouse,married,yes,did not complete any schooling,yes,,household work
633,3,male,27,child,single,yes,2nd grade,yes,,agriculture
633,4,male,25,child,single,yes,2nd grade,yes,,agriculture
633,5,male,10,child,,yes,2nd grade,yes,,student
633,6,male,7,child,,yes,did not complete any schooling,yes,,livestock
633,7,male,14,child,single,yes,4th grade,yes,,student
633,8,male,12,other relation,single,yes,1st grade,yes,,student
633,9,female,9,child,,yes,2nd grade,yes,,student
633,10,female,6,child,,yes,did not complete any schooling,yes,,household work
633,11,female,30,child,divorced,yes,1st grade,yes,,student
633,12,female,10,grandchild,,yes,did not complete any schooling,yes,,household work
633,13,female,8,grandchild,,yes,did not complete any schooling,yes,,household work
633,14,female,3,grandchild,,no,,,,
634,1,male,35,household head,married,yes,2nd grade,yes,,agriculture
634,2,female,30,spouse,married,yes,3rd grade,yes,,household work
634,3,male,10,child,,yes,2nd grade,yes,,student
634,4,female,8,child,,yes,1st grade,yes,,student
634,5,female,6,child,,yes,did not complete any schooling,no,too young,
634,6,male,1,child,,no,,,,
634,7,male,16,other relation,single,yes,2nd grade,yes,,student
635,1,male,65,household head,married,yes,2nd grade,yes,,agriculture
635,2,female,42,spouse,married,yes,did not complete any schooling,yes,,household work
635,3,male,22,child,single,yes,did not complete any schooling,yes,,agriculture
635,4,female,19,child,single,yes,did not complete any schooling,yes,,household work
635,5,male,18,child,single,yes,did not complete any schooling,yes,,agriculture
635,6,male,17,child,single,yes,3rd grade,yes,,student
635,7,male,14,child,single,yes,did not complete any schooling,yes,,agriculture
635,8,male,9,child,,yes,did not complete any schooling,yes,,livestock
